Coluna;Região Natural
CNAE 2.0 Subclasse;Norte;Nordeste;Sudeste;Sul;Centro-Oeste;{ñ class}
Fabricação de produtos de papel para uso doméstico e higiênico-sanitário não especificados anteriormente;355;1902;5412;4972;219;0
Fabricação de produtos de pastas celulósicas, papel, cartolina, papel-cartão e papelão ondulado não especificados anteriormente;490;439;6615;3250;654;0
Impressão de jornais;130;551;709;266;154;0
Impressão de livros, revistas e outras publicações periódicas;156;1575;8630;1999;908;0
Impressão de material de segurança;137;1078;6024;906;201;0
Impressão de material para uso publicitário;1383;5593;11142;5350;2119;0
Impressão de material para outros usos;623;3342;14322;7794;1608;0
Serviços de pré-impressão;305;1047;6709;1898;581;0
Serviços de acabamentos gráficos (Desativado);0;1;1;1;1;0
Serviços de encadernação e plastificação;14;200;622;119;66;0
Serviços de acabamentos gráficos, exceto encadernação e plastificação;341;1013;5403;1436;392;0
Reprodução de som em qualquer suporte;47;2;217;8;2;0
Reprodução de vídeo em qualquer suporte;156;2;48;50;0;0
Reprodução de software em qualquer suporte;63;152;488;169;84;0
Coquerias;1;2;286;88;0;0
Fabricação de produtos do refino de petróleo;344;2718;20093;1989;29;0
Formulação de combustíveis;0;1;45;0;15;0
Rerrefino de óleos lubrificantes;205;10;2377;143;0;0
Fabricação de outros produtos derivados do petróleo, exceto produtos do refino;3;347;4096;330;49;0
Fabricação de álcool;2276;23435;53747;4647;39850;0
Fabricação de biocombustíveis, exceto álcool;709;623;447;1701;885;0
Fabricação de cloro e álcalis;0;816;517;131;0;0
Fabricação de intermediários para fertilizantes;198;561;3112;356;239;0
Fabricação de adubos e fertilizantes (Desativado);0;0;65;0;0;0
Fabricação de adubos e fertilizantes organominerais;41;287;3092;2273;580;0
Fabricação de adubos e fertilizantes, exceto organominerais;991;3807;15281;10122;5639;0
Fabricação de gases industriais;306;718;3259;639;176;0
Elaboração de combustíveis nucleares;0;0;776;0;0;0
Fabricação de outros produtos químicos inorgânicos não especificados anteriormente;30;1032;6354;1082;182;0
Fabricação de produtos petroquímicos básicos;6;1598;1907;771;211;0
Fabricação de intermediários para plastificantes, resinas e fibras;0;690;650;125;2;0
Fabricação de produtos químicos orgânicos não especificados anteriormente;21;1249;10994;2635;198;0
Fabricação de resinas termoplásticas;1317;1647;4916;1656;0;0
Fabricação de resinas termofixas;0;201;1861;543;6;0
Fabricação de elastômeros;1;153;732;410;0;0
Fabricação de fibras artificiais e sintéticas;0;898;1888;442;115;0
Fabricação de defensivos agrícolas;0;1085;8485;2042;204;0
Fabricação de desinfestantes domissanitários;31;169;1304;740;239;0
Fabricação de sabões e detergentes sintéticos;787;6373;12084;2820;1618;0
Fabricação de produtos de limpeza e polimento;797;6105;13455;2553;986;0
Fabricação de cosméticos, produtos de perfumaria e de higiene pessoal;552;4410;34205;6263;3468;0
Fabricação de tintas, vernizes, esmaltes e lacas;536;3512;15422;5994;1617;0
Fabricação de tintas de impressão;0;2;1971;300;0;0
Fabricação de impermeabilizantes, solventes e produtos afins;5;348;2485;533;52;0
Fabricação de adesivos e selantes;118;204;3525;2213;27;0
Fabricação de pólvoras, explosivos e detonantes;233;239;1775;941;126;0
Fabricação de artigos pirotécnicos;0;13;2207;0;0;0
Fabricação de fósforos de segurança;0;0;28;1226;0;0
Fabricação de aditivos de uso industrial;101;564;9971;1744;194;0
Fabricação de catalisadores;0;0;496;30;0;0
Fabricação de chapas, filmes, papéis e outros materiais e produtos químicos para fotografia;196;0;614;0;5;0
Fabricação de outros produtos químicos não especificados anteriormente;597;1995;24290;7429;582;0
Fabricação de produtos farmoquímicos;36;364;3108;468;718;0
Fabricação de medicamentos alopáticos para uso humano;1039;5346;64864;7114;17590;0
Fabricação de medicamentos homeopáticos para uso humano;9;4;336;16;1;0
Fabricação de medicamentos fitoterápicos para uso humano;4;14;231;372;19;0
Fabricação de medicamentos para uso veterinário;2;262;9316;1177;478;0
Fabricação de preparações farmacêuticas;0;123;1502;623;53;0
Fabricação de pneumáticos e de câmaras-de-ar;1139;5194;19067;5531;25;0
Reforma de pneumáticos usados;1257;2973;7505;4600;2138;0
Fabricação de artefatos de borracha não especificados anteriormente;404;2596;33625;9859;733;0
Fabricação de laminados planos e tubulares de material plástico;438;2130;10397;5024;724;0
Fabricação de embalagens de material plástico;5276;17330;70986;36602;6004;0
Fabricação de tubos e acessórios de material plástico para uso na construção;194;1994;5507;5355;641;0
Fabricação de artefatos de material plástico para uso pessoal e doméstico;525;5880;21738;8424;315;0
Fabricação de artefatos de material plástico para usos industriais;3561;3933;33991;17854;144;0
Fabricação de artefatos de material plástico para uso na construção, exceto tubos e acessórios;332;2803;7401;6921;710;0
Fabricação de artefatos de material plástico para outros usos não especificados anteriormente;2022;4429;39042;20015;1333;0
Fabricação de vidro plano e de segurança;1010;2206;12313;3140;1474;0
Fabricação de embalagens de vidro;0;939;6390;276;0;0
Fabricação de artigos de vidro;157;2107;9836;5781;486;0
Fabricação de cimento;1014;3594;7335;2180;2053;0
Fabricação de estruturas pré-moldadas de concreto armado, em série e sob encomenda;2432;11905;13554;11564;4894;0
Fabricação de artefatos de cimento para uso na construção;878;4830;16330;11245;3910;0
Fabricação de artefatos de fibrocimento para uso na construção;441;403;1936;1608;545;0
Fabricação de casas pré-moldadas de concreto;0;3;222;93;146;0
Preparação de massa de concreto e argamassa para construção;1014;2304;10132;5612;1980;0
Fabricação de outros artefatos e produtos de concreto, cimento, fibrocimento, gesso e materiais semelhantes;1041;3336;6992;4451;1551;0
Fabricação de produtos cerâmicos refratários;244;804;7362;870;314;0
Fabricação de azulejos e pisos;10;5910;15906;9957;20;0
Fabricação de artefatos de cerâmica e barro cozido para uso na construção, exceto azulejos e pisos;8315;26370;27131;11156;6545;0
Fabricação de material sanitário de cerâmica;0;3563;6348;0;0;0
Fabricação de produtos cerâmicos não-refratários não especificados anteriormente;109;991;7500;4275;410;1
Britamento de pedras, exceto associado à extração;48;354;1004;419;152;0
Aparelhamento de pedras para construção, exceto associado à extração;70;456;3587;636;194;0
Aparelhamento de placas e execução de trabalhos em mármore, granito, ardósia e outras pedras;950;6213;29342;8337;3431;3
Fabricação de cal e gesso;39;2256;3879;1571;114;0
Decoração, lapidação, gravação, vitrificação e outros trabalhos em cerâmica, louça, vidro e cristal;7;186;3044;835;113;0
Fabricação de abrasivos;13;3;692;183;0;0
Fabricação de outros produtos de minerais não-metálicos não especificados anteriormente;421;2715;14332;2198;487;0
Produção de ferro-gusa;815;798;11197;3;1002;0
Produção de ferroligas;66;1788;9555;57;2408;0
Produção de semi-acabados de aço;4;2635;3900;105;6;0
Produção de laminados planos de aço ao carbono, revestidos ou não;241;94;29166;842;484;0
Produção de laminados planos de aços especiais;0;0;3169;11;0;0
Produção de tubos de aço sem costura;0;24;5253;31;0;0
Produção de laminados longos de aço, exceto tubos;1461;2889;20008;2888;125;0
Produção de arames de aço;0;553;3588;195;206;0
Produção de relaminados, trefilados e perfilados de aço, exceto arames;83;790;5351;1088;591;0
Produção de tubos de aço com costura;488;2353;6413;2288;163;0
Produção de outros tubos de ferro e aço;13;161;2075;183;2;0
Produção de alumínio e suas ligas em formas primárias;3798;2543;8439;763;135;0
Produção de laminados de alumínio;0;909;6989;1939;155;0
Metalurgia dos metais preciosos;588;6;309;32;6;0
Metalurgia do cobre;23;845;3975;275;197;0
Produção de zinco em formas primárias;0;0;1550;42;4;0
Produção de laminados de zinco;0;18;18;4;2;0
Produção de soldas e ânodos para galvanoplastia;0;0;103;5;0;0
Metalurgia de outros metais não-ferrosos e suas ligas não especificados anteriormente;1918;416;3560;1543;52;0
Fundição de ferro e aço;54;790;22596;23883;67;0
Fundição de metais não-ferrosos e suas ligas;579;222;10102;2266;141;0
Fabricação de estruturas metálicas;2201;7831;26205;16832;5918;0
Fabricação de esquadrias de metal;731;7754;26032;18673;4846;0
Fabricação de obras de caldeiraria pesada;306;3709;11309;1841;335;0
Fabricação de tanques, reservatórios metálicos e caldeiras para aquecimento central;129;687;4037;2328;400;0
Fabricação de caldeiras geradoras de vapor, exceto para aquecimento central e para veículos;3;32;2661;496;16;0
Produção de forjados de aço;0;121;2328;1425;30;0
Produção de forjados de metais não-ferrosos e suas ligas;0;24;581;173;49;0
Produção de artefatos estampados de metal;1182;880;15655;6138;1259;0
