Município;Abacate;Abacaxi*;Açaí;Alfafa fenada;Algodão arbóreo (em caroço);Algodão herbáceo (em caroço);Alho;Amendoim (em casca);Arroz (em casca);Aveia (em grão);Azeitona;Banana (cacho);Batata-doce;Batata-inglesa;Borracha (látex coagulado);Borracha (látex líquido);Cacau (em amêndoa);Café (em grão) Total;Café (em grão) Arábica;Café (em grão) Canephora;Caju;Cana-de-açúcar;Cana para forragem;Caqui;Castanha de caju;Cebola;Centeio (em grão);Cevada (em grão);Chá-da-índia (folha verde);Coco-da-baía*;Dendê (cacho de coco);Erva-mate (folha verde);Ervilha (em grão);Fava (em grão);Feijão (em grão);Figo;Fumo (em folha);Girassol (em grão);Goiaba;Guaraná (semente);Juta (fibra);Laranja;Limão;Linho (semente);Maçã;Malva (fibra);Mamão;Mamona (baga);Mandioca;Manga;Maracujá;Marmelo;Melancia;Melão;Milho (em grão);Noz (fruto seco);Palmito;Pera;Pêssego;Pimenta-do-reino;Rami (fibra);Sisal ou agave (fibra);Soja (em grão);Sorgo (em grão);Tangerina;Tomate;Trigo (em grão);Triticale (em grão);Tungue (fruto seco);Urucum (semente);Uva
Campinas do Piauí (PI);-;-;-;...;-;-;-;-;-;-;-;760;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;495;-;-;-;-;-;-;-;-;-;-;-;-;-;141;480;-;-;43;-;788;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Campo Alegre do Fidalgo (PI);-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;129;-;-;-;-;-;-;-;-;-;-;-;-;-;105;-;-;-;-;-;108;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Campo Grande do Piauí (PI);-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;1615;-;-;-;-;-;-;-;-;-;687;-;-;-;-;-;-;-;-;-;-;-;-;-;1463;-;-;-;-;-;580;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Campo Largo do Piauí (PI);-;-;-;...;-;-;-;-;798;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;4;-;-;-;-;-;-;-;-;50;240;-;-;-;-;-;-;-;-;-;-;-;-;-;288;-;-;-;-;-;433;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Campo Maior (PI);-;-;-;...;-;-;-;-;399;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;205;-;-;-;-;-;-;-;-;-;1550;-;-;-;-;-;-;-;-;-;-;-;-;-;896;-;-;-;2588;-;2761;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Canavieira (PI);-;-;-;...;-;-;-;-;250;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;100;-;-;-;-;-;-;-;-;19;1185;-;-;-;-;-;-;-;-;-;-;-;-;-;180;-;-;-;-;-;1720;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Canto do Buriti (PI);-;-;-;...;-;-;-;-;-;-;-;2438;-;-;-;...;-;-;-;-;...;-;...;-;205;-;-;-;-;84;-;-;-;-;1134;-;-;-;-;-;-;-;-;-;-;-;-;-;1103;-;-;-;1340;45389;4142;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Capitão de Campos (PI);-;-;-;...;-;-;-;-;1050;-;-;-;-;-;-;...;-;-;-;-;...;20;...;-;518;-;-;-;-;-;-;-;-;-;480;-;-;-;-;-;-;-;-;-;-;-;-;-;698;-;-;-;200;-;1822;-;-;-;-;-;-;-;1777;-;-;-;-;-;-;-;-
Capitão Gervásio Oliveira (PI);-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;88;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;40;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Caracol (PI);-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;15;-;-;-;-;-;-;-;-;-;2953;-;-;-;-;-;-;-;-;-;-;-;-;-;680;-;-;-;-;-;8413;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Caraúbas do Piauí (PI);-;-;-;...;-;-;-;-;552;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;43;-;-;-;-;-;-;-;-;-;475;-;-;-;-;-;-;-;-;-;-;-;-;-;293;-;-;-;-;-;320;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Caridade do Piauí (PI);-;-;-;...;-;221;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;505;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1064;-;-;-;-;-;-;-;-;-;-;364;-;-;-;-;-
Castelo do Piauí (PI);-;-;-;...;-;-;-;-;106;-;-;-;-;-;-;...;-;-;-;-;...;1420;...;-;68;-;-;-;-;-;-;-;-;-;1633;-;-;-;-;-;-;-;-;-;-;-;-;-;517;-;-;-;390;-;1497;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Caxingó (PI);-;-;-;...;-;-;-;-;6110;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;8;-;-;-;-;-;-;-;-;-;229;-;-;-;-;-;-;-;-;-;-;-;-;-;640;-;-;-;46;-;116;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Cocal (PI);-;-;-;...;-;-;-;-;1246;-;-;200;-;-;-;...;-;-;-;-;...;110;...;-;2876;-;-;-;-;86;-;-;-;26;4655;-;-;-;-;-;-;100;-;-;-;-;-;-;35861;315;-;-;-;-;5003;-;-;-;-;-;-;-;7369;-;-;-;-;-;-;-;-
Cocal de Telha (PI);-;-;-;...;-;-;-;-;204;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;90;-;-;-;-;-;-;-;-;-;66;-;-;-;-;-;-;-;-;-;-;-;-;-;128;-;-;-;432;-;498;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Cocal dos Alves (PI);-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;4816;-;-;-;-;-;-;-;-;-;1650;-;-;-;-;-;-;-;-;-;-;-;-;-;6204;-;-;-;-;-;652;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Coivaras (PI);-;-;-;...;-;-;-;-;310;-;-;-;-;-;-;...;-;-;-;-;...;44;...;-;193;-;-;-;-;-;-;-;-;-;472;-;-;-;-;-;-;-;-;-;-;-;-;-;125;-;-;-;406;-;312;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Colônia do Gurguéia (PI);-;-;-;...;-;-;-;-;18;-;-;58;-;-;-;...;-;-;-;-;...;-;...;-;49;-;-;-;-;-;-;-;-;31;44;-;-;-;-;-;-;-;-;-;-;-;-;-;70;-;-;-;198;-;563;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Colônia do Piauí (PI);-;-;-;...;-;-;-;-;27;-;-;-;-;-;-;...;-;-;-;-;...;40;...;-;74;-;-;-;-;-;-;-;-;-;389;-;-;-;-;-;-;-;-;-;-;-;-;-;237;-;-;-;422;-;241;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Conceição do Canindé (PI);-;-;-;...;-;-;-;-;-;-;-;228;23;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;71;-;-;-;-;288;-;-;-;488;-;-;-;-;-;-;-;180;-;60;972;58;-;1316;1026;849;-;-;-;-;-;-;-;-;-;-;1873;-;-;-;-;120
Coronel José Dias (PI);-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;189;-;-;-;-;-;-;-;-;-;-;-;-;-;29;-;-;-;-;-;44;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Corrente (PI);-;-;-;...;-;-;-;-;236;-;-;-;-;-;-;...;-;-;-;-;...;154;...;-;-;-;-;-;-;-;-;-;-;-;1452;-;-;-;-;-;-;-;-;-;-;-;-;-;302;-;-;-;-;-;5014;-;-;-;-;-;-;-;104612;-;-;-;-;-;-;-;-
Cristalândia do Piauí (PI);-;-;-;...;-;-;-;-;17;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;722;-;-;-;-;-;-;-;-;-;-;-;-;-;243;-;-;-;-;-;1406;-;-;-;-;-;-;-;11829;-;-;-;-;-;-;-;-
